,,行政部2026年预算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一级部门,行政部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,二级部门,行政部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,全年合计,一季度,1月,2月,3月,二季度,4月,5月,6月,三季度,7月,8月,9月,四季度,10月,11月,12月,,,,,,,,,,,,
,,预估人数（正式+外包）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,吉隆坡,绿植,6000,1500,500.00 ,500.00 ,500.00 ,1500,500.00 ,500.00 ,500.00 ,1500,500.00 ,500.00 ,500.00 ,1500,500.00 ,500.00 ,500.00 ,,,,,,,,,,,,
,俄罗斯-注册地址,俄罗斯,房租,120000,30000,"10,000.00 ","10,000.00 ","10,000.00 ",30000,"10,000.00 ","10,000.00 ","10,000.00 ",30000,"10,000.00 ","10,000.00 ","10,000.00 ",30000,"10,000.00 ","10,000.00 ","10,000.00 ",,,,,,,,,,,,
,朝阳-注册地址,朝阳,房租,6500,,,,,,,,,,,"6,500.00 ",,,,,,,,,,,,,,,,,
,南京-注册地址,南京仟壹,房租,9600,2400,800.00 ,800.00 ,800.00 ,2400,800.00 ,800.00 ,800.00 ,2400,800.00 ,800.00 ,800.00 ,2400,800.00 ,800.00 ,800.00 ,,,,,,,,,,,,
,儋州-注册地址,儋州洋浦,房租,"24,000.00 ","6,000.00 ","2,000.00 ","2,000.00 ","2,000.00 ","6,000.00 ","2,000.00 ","2,000.00 ","2,000.00 ","6,000.00 ","2,000.00 ","2,000.00 ","2,000.00 ","6,000.00 ","2,000.00 ","2,000.00 ","2,000.00 ",,,,,,,,,,,,
福利,公司级福利,公司级福利,北京福利活动,530000,66000,,,66000,389000,34000,15000,340000,40000,10000,15000,15000,35000,10000.00,20000,5000.00,,,,,,,,,,,,
,,公司级福利,武汉福利活动,1467500,645000,"605,000.00 ",35000,5000,280000,50000,,230000,53500,,3500,50000,489000,456000.00,,33000.00,,,,,,,,,,,,
,,公司级福利,节日礼品（端午、中秋）,800000,,,,,400000,,,400000,400000,,,400000,,,,,,,,,,,,,,,,
,,公司级福利,全员下午茶,1200000,300000,"100,000.00 ","100,000.00 ","100,000.00 ",300000,"100,000.00 ","100,000.00 ","100,000.00 ",300000,"100,000.00 ","100,000.00 ","100,000.00 ",300000,"100,000.00 ","100,000.00 ","100,000.00 ",,,,,,,,,,,,
,,公司级福利,员工年度体检,532500,,,,,,,,532500,,,,,,,,,,,,,,,,,,,,
,,公司级福利,慰问员工,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,公司级福利,全员生日福利（包含生日礼品和每季度线下生日会）,220000,,,,55000,,,,55000,,,,,55000,,,55000,,,,,,,,,,,,
